tt,opt,tree,gap,verdict,t_sec
4294965754,4,4,0,gap0,2.21
4274913279,4,4,0,gap0,2.18
1671220275,4,4,0,gap0,1.70
1520801430,5,5,0,gap0,4.39
4294959087,4,4,0,gap0,2.00
1016906697,4,4,0,gap0,2.01
1884344400,4,4,0,gap0,1.89
3190302910,6,6,0,gap0,29.81
3084845055,5,5,0,gap0,6.30
306720960,4,4,0,gap0,3.00
4294928790,4,4,0,gap0,2.29
4036423785,4,4,0,gap0,2.00
269549841,4,4,0,gap0,1.69
53805,4,4,0,gap0,1.90
8226,4,4,0,gap0,2.40
2774165910,4,4,0,gap0,1.89
4278197760,4,4,0,gap0,2.51
973078329,4,4,0,gap0,1.99
2517592560,4,4,0,gap0,2.01
3942645995,4,4,0,gap0,2.08
161058969,4,4,0,gap0,2.10
2011027325,4,4,0,gap0,2.09
11075670,4,4,0,gap0,2.69
2222685060,4,4,0,gap0,1.79
3990805998,4,4,0,gap0,1.80
960064659,5,5,0,gap0,7.30
2025097035,4,4,0,gap0,1.90
1012581285,5,5,0,gap0,5.01
2532337935,4,4,0,gap0,2.49
2516582550,4,4,0,gap0,1.81
2841312271,5,5,0,gap0,5.70
859018137,4,4,0,gap0,1.91
4032827247,5,5,0,gap0,19.00
4210623750,4,4,0,gap0,2.49
260540175,4,4,0,gap0,1.81
1761646335,4,4,0,gap0,2.20
1828755200,6,6,0,gap0,27.29
2795940185,5,5,0,gap0,10.41
1260303585,4,4,0,gap0,1.79
10460928,4,4,0,gap0,1.91
138444804,5,5,0,gap0,7.48
1331654736,5,5,0,gap0,15.40
763875960,4,4,0,gap0,1.99
2790873510,4,4,0,gap0,1.71
2774177385,4,4,0,gap0,1.80
1554228060,5,5,0,gap0,3.81
1671182025,4,4,0,gap0,1.81
1140867076,4,4,0,gap0,2.08
2523467760,4,4,0,gap0,2.32
2818744840,4,4,0,gap0,2.00
289489940,4,4,0,gap0,2.41
768745185,4,4,0,gap0,1.80
2079190395,5,5,0,gap0,9.48
2520580095,4,4,0,gap0,1.80
540020784,4,4,0,gap0,2.00
